Employee_ID,Experience_Years,Projects_Completed,Technical_Skills,Communication_Skills,Interview_Score,Certification_Count,Internships,Coding_Test,Leadership,Problem_Solving,Attendance,Teamwork,Client_Rating,Work_Hours,Salary
E001,1,2,55,60,58,0,1,50,45,52,88,65,3.2,38,25000
E002,3,5,68,70,72,1,2,65,60,66,91,72,4.0,42,42000
E003,5,8,75,78,80,2,2,78,72,76,95,80,4.5,45,60000
E004,7,12,85,82,88,3,3,84,80,86,96,85,4.8,48,85000
E005,2,3,60,65,62,1,1,58,50,60,89,68,3.5,40,32000
E006,10,18,92,90,94,4,4,95,88,93,98,92,4.9,52,120000
E007,4,6,70,72,74,2,2,68,65,70,90,75,4.1,44,52000
E008,6,10,80,79,83,3,3,82,75,81,94,82,4.6,46,76000
E009,8,14,88,85,90,4,3,89,84,88,97,88,4.8,50,98000
E010,1,1,52,55,54,0,1,48,42,50,85,60,3.0,37,22000
E011,9,16,90,88,92,4,4,91,86,90,97,90,4.9,51,110000
E012,3,4,66,68,70,1,2,64,58,65,89,70,3.9,41,40000
E013,5,9,78,76,81,2,2,80,73,79,93,81,4.4,45,65000
E014,2,2,58,62,60,1,1,56,48,58,87,66,3.4,39,30000
E015,11,20,95,92,96,5,5,97,90,95,99,95,5.0,55,135000
E016,4,7,72,74,76,2,2,70,66,72,91,74,4.0,43,55000
E017,6,11,82,80,85,3,3,84,78,83,95,84,4.7,47,80000
E018,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E019,7,13,86,84,89,4,3,87,82,87,96,87,4.8,49,92000
E020,3,5,67,69,71,1,2,66,60,67,90,71,4.0,42,43000
E021,5,8,74,77,79,2,2,76,71,75,93,79,4.4,45,61000
E022,2,3,61,64,63,1,1,59,52,61,88,67,3.5,40,34000
E023,8,15,89,86,91,4,4,90,85,89,97,89,4.9,50,102000
E024,6,10,81,80,84,3,3,83,76,82,94,83,4.6,46,77000
E025,4,6,71,73,75,2,2,69,64,71,91,73,4.1,43,53000
E026,3,4,65,67,69,1,2,63,57,64,89,69,3.8,41,41000
E027,10,19,93,91,95,5,5,96,89,94,99,94,5.0,53,125000
E028,5,9,77,75,80,2,2,79,72,78,92,80,4.3,45,64000
E029,7,12,84,83,87,3,3,85,79,85,95,85,4.7,48,87000
E030,1,2,54,58,56,0,1,49,44,51,86,62,3.1,38,24000
E031,3,5,68,70,72,1,2,65,60,66,91,72,4.0,42,42000
